model,feature,importance_mean,importance_std
coxnet,po2_first_24h,0.05967985227952455,0.00410962310581436
coxnet,anchor_age,0.04479727445320014,0.004606079706094077
coxnet,bun_last_24h,0.03985158600123099,0.005582203397815461
coxnet,icu_los_hours,0.008957287630143954,0.001175202874252786
coxnet,platelet_min_24h,0.007210475670333579,0.00289071769006166
coxnet,sbp_slope_24h,0.0019180255389976326,0.0011533043690273106
coxnet,glucose_last_24h,0.0013762104149869596,7.00933726422138e-05
coxnet,heart_rate_slope_24h,0.0005266443005382815,0.00014135457126491537
coxnet,po2_slope_24h,0.00039010688928760767,0.0006944641244363994
coxnet,platelet_slope_24h,0.00011053028529813454,2.3140009908778532e-05
coxnet,po2_last_24h,6.501781488125562e-05,4.6280019817546676e-05
coxnet,dbp_last_24h,4.984699140893797e-05,8.109146244071765e-06
coxnet,pco2_slope_24h,2.8174386448494754e-05,0.0001639973335101386
coxnet,glucose_max_24h,2.1672604960369195e-05,8.109146244071765e-06
coxnet,gender_male,0.0,0.0
coxnet,icu_los_days,0.0,0.0
coxnet,dbp_first_24h,0.0,0.0
coxnet,glucose_first_24h,0.0,0.0
coxnet,heart_rate_first_24h,0.0,0.0
coxnet,mbp_first_24h,0.0,0.0
coxnet,resp_rate_first_24h,0.0,0.0
coxnet,sbp_first_24h,0.0,0.0
coxnet,spo2_first_24h,0.0,0.0
coxnet,temperature_first_24h,0.0,0.0
coxnet,heart_rate_last_24h,0.0,0.0
coxnet,mbp_last_24h,0.0,0.0
coxnet,resp_rate_last_24h,0.0,0.0
coxnet,sbp_last_24h,0.0,0.0
coxnet,spo2_last_24h,0.0,0.0
coxnet,temperature_last_24h,0.0,0.0
coxnet,dbp_min_24h,0.0,0.0
coxnet,glucose_min_24h,0.0,0.0
coxnet,heart_rate_min_24h,0.0,0.0
coxnet,mbp_min_24h,0.0,0.0
coxnet,resp_rate_min_24h,0.0,0.0
coxnet,sbp_min_24h,0.0,0.0
coxnet,spo2_min_24h,0.0,0.0
coxnet,temperature_min_24h,0.0,0.0
coxnet,heart_rate_max_24h,0.0,0.0
coxnet,resp_rate_max_24h,0.0,0.0
coxnet,temperature_max_24h,0.0,0.0
coxnet,dbp_mean_24h,0.0,0.0
coxnet,glucose_mean_24h,0.0,0.0
coxnet,heart_rate_mean_24h,0.0,0.0
coxnet,mbp_mean_24h,0.0,0.0
coxnet,resp_rate_mean_24h,0.0,0.0
coxnet,sbp_mean_24h,0.0,0.0
coxnet,spo2_mean_24h,0.0,0.0
coxnet,temperature_mean_24h,0.0,0.0
coxnet,dbp_std_24h,0.0,0.0
coxnet,glucose_std_24h,0.0,0.0
coxnet,heart_rate_std_24h,0.0,0.0
coxnet,mbp_std_24h,0.0,0.0
coxnet,resp_rate_std_24h,0.0,0.0
coxnet,sbp_std_24h,0.0,0.0
coxnet,spo2_std_24h,0.0,0.0
coxnet,temperature_std_24h,0.0,0.0
coxnet,dbp_count_24h,0.0,0.0
coxnet,glucose_count_24h,0.0,0.0
coxnet,heart_rate_count_24h,0.0,0.0
coxnet,mbp_count_24h,0.0,0.0
coxnet,resp_rate_count_24h,0.0,0.0
coxnet,sbp_count_24h,0.0,0.0
coxnet,spo2_count_24h,0.0,0.0
coxnet,temperature_count_24h,0.0,0.0
coxnet,dbp_slope_24h,0.0,0.0
coxnet,mbp_slope_24h,0.0,0.0
coxnet,resp_rate_slope_24h,0.0,0.0
coxnet,spo2_slope_24h,0.0,0.0
coxnet,temperature_slope_24h,0.0,0.0
coxnet,bicarbonate_first_24h,0.0,0.0
coxnet,bun_first_24h,0.0,0.0
coxnet,chloride_first_24h,0.0,0.0
coxnet,creatinine_first_24h,0.0,0.0
coxnet,hemoglobin_first_24h,0.0,0.0
coxnet,lactate_first_24h,0.0,0.0
coxnet,pco2_first_24h,0.0,0.0
coxnet,ph_first_24h,0.0,0.0
coxnet,platelet_first_24h,0.0,0.0
coxnet,potassium_first_24h,0.0,0.0
coxnet,sodium_first_24h,0.0,0.0
coxnet,wbc_first_24h,0.0,0.0
coxnet,bicarbonate_last_24h,0.0,0.0
coxnet,chloride_last_24h,0.0,0.0
coxnet,creatinine_last_24h,0.0,0.0
coxnet,hemoglobin_last_24h,0.0,0.0
coxnet,lactate_last_24h,0.0,0.0
coxnet,pco2_last_24h,0.0,0.0
coxnet,ph_last_24h,0.0,0.0
coxnet,platelet_last_24h,0.0,0.0
coxnet,potassium_last_24h,0.0,0.0
coxnet,sodium_last_24h,0.0,0.0
coxnet,wbc_last_24h,0.0,0.0
coxnet,bicarbonate_min_24h,0.0,0.0
coxnet,bun_min_24h,0.0,0.0
coxnet,chloride_min_24h,0.0,0.0
coxnet,creatinine_min_24h,0.0,0.0
coxnet,hemoglobin_min_24h,0.0,0.0
coxnet,lactate_min_24h,0.0,0.0
coxnet,pco2_min_24h,0.0,0.0
coxnet,ph_min_24h,0.0,0.0
coxnet,po2_min_24h,0.0,0.0
coxnet,potassium_min_24h,0.0,0.0
coxnet,sodium_min_24h,0.0,0.0
coxnet,wbc_min_24h,0.0,0.0
coxnet,bicarbonate_max_24h,0.0,0.0
coxnet,bun_max_24h,0.0,0.0
coxnet,chloride_max_24h,0.0,0.0
coxnet,creatinine_max_24h,0.0,0.0
coxnet,hemoglobin_max_24h,0.0,0.0
coxnet,lactate_max_24h,0.0,0.0
coxnet,pco2_max_24h,0.0,0.0
coxnet,ph_max_24h,0.0,0.0
coxnet,platelet_max_24h,0.0,0.0
coxnet,po2_max_24h,0.0,0.0
coxnet,potassium_max_24h,0.0,0.0
coxnet,sodium_max_24h,0.0,0.0
coxnet,wbc_max_24h,0.0,0.0
coxnet,bicarbonate_mean_24h,0.0,0.0
coxnet,bun_mean_24h,0.0,0.0
coxnet,chloride_mean_24h,0.0,0.0
coxnet,creatinine_mean_24h,0.0,0.0
