risk_decile,n,mean_predicted_90d_risk,observed_90d_risk_km
0,3137,0.027657628412745196,0.01785145043034808
1,3137,0.050860132834127235,0.03092126235256709
2,3137,0.0723210460854161,0.054510678992668815
3,3139,0.0938335810903056,0.07677604332589938
4,3135,0.11636119296078044,0.10398724082934618
5,3136,0.14013367864304474,0.13233418367347016
6,3137,0.16640651934672812,0.18297736691106214
7,3146,0.19920901413598427,0.22663699936427228
8,3128,0.2530174939601769,0.29635549872122724
9,3137,0.4375408968115426,0.4399107427478487
