term,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),abs_log_hr
insurance_No charge,-1.7792296429303567,0.16876810890956273,2.683076536222207,-7.03796302169036,3.4795037358296463,0.0008779130319443483,32.44361747521658,0.0,-0.6631304097778463,0.5072470360466095,0.9792395648578203,1.7792296429303567
admission_type_DIRECT OBSERVATION,-0.957180609773938,0.3839739336670067,0.16068718437579432,-1.2721217039276422,-0.6422395156202338,0.28023641187632437,0.5261128657355998,0.0,-5.956794958429343,2.5723264145772154e-09,28.534279129356115,0.957180609773938
admission_type_SURGICAL SAME DAY ADMISSION,-0.8531872018319316,0.42605484288514645,0.12292486826786574,-1.094115516441279,-0.6122588872225843,0.3348356326263184,0.5421248859390927,0.0,-6.940720896057829,3.901040646055704e-12,37.89927810835624,0.8531872018319316
insurance_UNKNOWN,0.8048496960999729,2.2363603398766703,0.14892732077014637,0.5129575110764422,1.0967418811235037,1.6702236023299155,2.9943940217325458,0.0,5.404311928381318,6.505764374753274e-08,23.873706187185697,0.8048496960999729
admission_type_ELECTIVE,-0.7072977386187553,0.4929745452532677,0.15402753058734286,-1.0091861511975888,-0.40540932603992175,0.3645155194047893,0.6667038557493941,0.0,-4.592021542653215,4.3897304238529525e-06,17.797436223666512,0.7072977386187553
severe_liver_disease,0.7001909716055047,2.014137313781385,0.07226977245664254,0.5585448204195805,0.8418371227914289,1.7481268100890905,2.3206263386348662,0.0,9.68857307563237,3.372067506897947e-22,71.32878466900829,0.7001909716055047
admission_type_EU OBSERVATION,-0.6287848047852083,0.533239397413253,0.11696581275414766,-0.8580335852057934,-0.3995360243646231,0.42399501317214583,0.670631130367099,0.0,-5.375799902377127,7.624342872172815e-08,23.644811759360408,0.6287848047852083
metastatic_solid_tumor,0.6054587803832474,1.8320925442259337,0.09456305484866799,0.4201185986117724,0.7907989621547225,1.5221420688503988,2.2051575600583107,0.0,6.402699038775563,1.5265392366633936e-10,32.609016277237735,0.6054587803832474
admission_type_URGENT,0.47264469634657763,1.6042312924654882,0.06919943456408832,0.33701629685042833,0.6082730958427269,1.4007618915595565,1.8372558928342821,0.0,6.830181479428748,8.480727864353523e-12,36.778949048243156,0.47264469634657763
marital_status_UNKNOWN,0.45456518038697913,1.5754881809139827,0.06802993892124526,0.3212289502308788,0.5879014105430795,1.3788212261969208,1.8002065540040881,0.0,6.681840195582208,2.359602596371243e-11,35.30266514202216,0.45456518038697913
race_simple_HISPANIC/LATINO,-0.3881252896637413,0.678327350534205,0.12076800022197537,-0.6248262205837383,-0.15142435874374435,0.5353544540203102,0.8594828921798751,0.0,-3.2138090301268125,0.0013098675993155917,9.576363292337732,0.3881252896637413
paraplegia,0.3878502113006818,1.4738090078193196,0.07672062756688254,0.2374805443982812,0.5382198782030825,1.2680503258686269,1.7129548782233457,0.0,5.055357647623081,4.2958495620483077e-07,21.15055319227719,0.3878502113006818
malignant_cancer,0.3849972575912316,1.4696102911634694,0.04929395743506217,0.2883828763630593,0.4816116388194039,1.3342680660422845,1.6186810303418684,0.0,7.810232280465838,5.708268686717515e-15,47.315868179619414,0.3849972575912316
race_simple_UNKNOWN,0.3644998265650884,1.439793681468875,0.0792670271427075,0.2091393082038228,0.519860344926354,1.2326167001887576,1.6817927624055757,0.0,4.598378918750986,4.257910572339622e-06,17.84142291972114,0.3644998265650884
admission_type_EW EMER.,0.347159150371471,1.415041911896619,0.06585398011535143,0.2180877211067653,0.47623057963617665,1.243696161237829,1.6099942050405154,0.0,5.271650244425297,1.352025430196e-07,22.818374376738905,0.347159150371471
dementia,0.32756385587915265,1.3875836538431594,0.050185988758931245,0.2292011253831154,0.4259265863751899,1.2575949478414823,1.5310083741330558,0.0,6.526998151866809,6.710087454818644e-11,33.79487747408501,0.32756385587915265
race_simple_BLACK,-0.2518056250932758,0.7773958296261382,0.07974362438864271,-0.4081002568917054,-0.09551099329484619,0.6649122134488489,0.9089083697010528,0.0,-3.157689746656895,0.0015902470623997149,9.296533363171752,0.2518056250932758
diabetes_with_cc,-0.2386105389717472,0.787721609507694,0.04983284392709969,-0.3362811183160681,-0.14093995962742625,0.7144222404067225,0.8685414576849351,0.0,-4.788218375030127,1.6826848984072393e-06,19.180803528168283,0.2386105389717472
cerebrovascular_disease,0.17197105967441667,1.1876434619280851,0.044793824483264154,0.08417677695741044,0.2597653423914229,1.0878211785307188,1.2966257878575547,0.0,3.839168940322754,0.00012345146687692133,12.983768400553672,0.17197105967441667
admission_type_DIRECT EMER.,0.1380784972766961,1.1480656667654923,0.09732655260643198,-0.0526780405713535,0.3288350351247457,0.9486854015280601,1.389348642956544,0.0,1.418713532729926,0.15598255022587926,2.6805434511247337,0.1380784972766961
